InviteFriendPlay|邀請好友打牌
NotEnoughChips2|親!根據本遊戲規則，您當前最大押注只能是自身攜帶籌碼總數的1/7
NotEnoughChipsTip|賬戶籌碼小於本桌最小籌碼需求，是否去商城補充一些籌碼!
LeaveTemp|暫時離開
ChangeChipSuccessTip1|更換籌碼成功，下局開始時生效!
ChangeChipSuccessTip2|更換籌碼成功!
Show|亮牌
MyWinChips|我贏了{0}籌碼
Second|秒
Settlement|結算
ConstructionTip|正在建設中，敬請期待！
Today|今天
Tomorrow|明天
AfterTomorrow|後天
Free|免費
ConfirmExitGame|確認退出遊戲嗎？
PermisionPhoto|相機權限
PermisionWriteSD|寫入SD卡權限
AddPermisionTip|敬請添加
CancelAddPermision|取消權限設置!
FormatPermisionTip|  親!當前需要添加{0}{1}{2}才可以拍照哦！
FormatPermisionTip2|  親!當前需要添加{0}{1}{2}才可以打開相冊哦！
OrangePlayer|微信用戶
FacebookPlayer|Facebook用戶
UploadHeadImageTip|  親!當前您是{0}{1}{2},不需要上傳頭像哦!
FirstCharge|首充
PartnershipFraudTip|未通過防夥牌檢測，很遺憾報名本場賽事失敗。多次出現可能會導致賬號信譽度下降！
NetConnectFail|請求失敗，請確認當前網絡是否正常！
GetOnlineRewardFail|領取在線獎勵失敗！
InviteSuccess|邀請成功
InviteFail|邀請失敗
CowboySitDownTip|親!坐下需要身上攜帶 {0} 金幣哦!
NotCheckSystemBankerTip|無法查看系統莊信息
BetInfoTip|本人當前是莊家，不可以在閒家池下注
BetInfoTip2|當前狀態無法下注
BetInfoTip3|由於連續3局沒有下注，下局將自動離座
BetInfoTip4|下局將自動下莊
ApplyUpBankerSuccess|申請上莊成功，已加入申請上莊列表
ApplyUpBankerFail|申請上莊失敗！
ApplyDownBankerSuccess|申請下莊成功
ApplyDownBankerFail|申請下莊失敗！
ReportSuccess|舉報成功
InputNotExceedSelfChipsTip|輸入籌碼數量不可以超過自身攜帶籌碼數量
TodayGiftLimit|今日贈送上限為
InputGiveChipsCount|請輸入需要贈送的籌碼數量
Unopened|未開獎
BaoZiFormatTm|MM月dd日 hh時mm分
RedemptionVoucher|兌換券
Send|送
TenThousand|萬
NeedScore|需要積分
Exp|經驗
Billion|億
BeBank|上莊
NotBeBank|下莊
NetErrorTip|網絡連接失敗，\n請確認當前網絡是否正常\n是否重連?
AddFriend|添加好友
RemoveFriend|删除好友
TodayLeftCount|今日剩餘可贈送額度{0}
GiftBalanceMinLimit|賬戶餘額少於{0}時不可贈送！
PaymentTip1|請求支付中，請稍等
PaymentTip2|請求校驗中，請稍等
PaymentTip3|請求結單中，請稍等
GoldPackageTitle1|一點點籌碼
GoldPackageTitle2|一點籌碼
GoldPackageTitle3|一些籌碼
GoldPackageTitle4|一多些籌碼
GoldPackageTitle5|少量籌碼
BillingItemGoldTitle1|一堆籌碼
BillingItemGoldTitle2|一大堆籌碼
BillingItemGoldTitle3|一小箱籌碼
BillingItemGoldTitle4|一箱籌碼
BillingItemGoldTitle5|一大箱籌碼
BillingItemGoldTitle6|一小堆籌碼
BillingItemDiamondTitle1|300鑽石
BillingItemDiamondTitle2|600鑽石
BillingItemDiamondTitle3|1280鑽石
BillingItemDiamondTitle4|3280鑽石
BillingItemDiamondTitle5|6480鑽石
BillingItemDiamondTitle30|首充特惠
VirtualVoucher1|20000元电话费
VirtualVoucher2|50000元电话费
VirtualVoucher3|100000元电话费
PhoneRechargeTip|成功申請兌換話費，預計12小時內到賬!
