InviteFriendPlay|邀请好友打牌
NotEnoughChipsTip|账户筹码小于本桌最小筹码需求，是否去商城补充一些筹码!
LeaveTemp|暂时离开
ChangeChipSuccessTip1|更换筹码成功，下局开始时生效!
ChangeChipSuccessTip2|更换筹码成功!
Show|亮牌
MyWinChips|我赢了{0}筹码
Second|秒
Settlement|结算
ConstructionTip|正在建设中，敬请期待！
Today|今天
Tomorrow|明天
AfterTomorrow|后天
Free|免费
ConfirmExitGame|确认退出游戏吗？
PermisionPhoto|相机权限
PermisionWriteSD|写入SD卡权限
AddPermisionTip|敬请添加
CancelAddPermision|取消权限设置!
FormatPermisionTip|  亲!当前需要添加{0}{1}{2}才可以拍照哦！
FormatPermisionTip2|  亲!当前需要添加{0}{1}{2}才可以打开相册哦！
WeChatPlayer|微信用户
FacebookPlayer|Facebook用户
UploadHeadImageTip|  亲!当前您是{0}{1}{2},不需要上传头像哦!
FirstCharge|首充
PartnershipFraudTip|未通过防伙牌检测，很遗憾报名本场赛事失败。多次出现可能会导致账号信誉度下降！
NetConnectFail|请求失败，请确认当前网络是否正常！
GetOnlineRewardFail|领取在线奖励失败！
InviteSuccess|邀请成功
InviteFail|邀请失败
CowboySitDownTip|亲!坐下需要身上携带 {0} 金币哦!
NotCheckSystemBankerTip|无法查看系统庄信息
BetInfoTip|本人当前是庄家，不可以在闲家池下注
BetInfoTip2|当前状态无法下注
BetInfoTip3|由于连续3局没有下注，下局将自动离座
BetInfoTip4|下局将自动下庄
ApplyUpBankerSuccess|申请上庄成功，已加入申请上庄列表
ApplyUpBankerFail|申请上庄失败！
ApplyDownBankerSuccess|申请下庄成功
ApplyDownBankerFail|申请下庄失败！
ReportSuccess|举报成功
InputNotExceedSelfChipsTip|输入筹码数量不可以超过自身携带筹码数量
TodayGiftLimit|今日赠送上限为
InputGiveChipsCount|请输入需要赠送的筹码数量
Unopened|未开奖
BaoZiFormatTm|yyyy年MM月dd日 hh时mm分
RedemptionVoucher|兑换券
Send|送
TenThousand|万
NeedScore|需要积分
Exp|经验
Billion|亿
BeBank|上庄
NotBeBank|下庄
NetErrorTip|网络连接失败，\n请确认当前网络是否正常\n是否重连?
AddFriend|添加好友
RemoveFriend|删除好友
TodayLeftCount|今日剩余可赠送额度{0}
GiftBalanceMinLimit|账户余额少于{0}时不可赠送！
PaymentTip1|请求支付中，请稍等
PaymentTip2|请求校验中，请稍等
PaymentTip3|请求结单中，请稍等
GoldPackageTitle1|一点点筹码
GoldPackageTitle2|一点筹码
GoldPackageTitle3|一些筹码
GoldPackageTitle4|一多些筹码
GoldPackageTitle5|少量筹码
BillingItemGoldTitle1|一堆筹码
BillingItemGoldTitle2|一大堆筹码
BillingItemGoldTitle3|一小箱筹码
BillingItemGoldTitle4|一箱筹码
BillingItemGoldTitle5|一大箱筹码
BillingItemGoldTitle6|一小堆筹码
BillingItemDiamondTitle1|300钻石
BillingItemDiamondTitle2|600钻石
BillingItemDiamondTitle3|1280钻石
BillingItemDiamondTitle4|3280钻石
BillingItemDiamondTitle5|6480钻石
BillingItemDiamondTitle30|首充特惠
VirtualVoucher1|20000元电话费
VirtualVoucher2|50000元电话费
VirtualVoucher3|100000元电话费
PhoneRechargeTip|成功申请兑换话费，预计12小时内到账!
